"lassa_day_0","lassa_day_3","lassa_day_6","lassa_day_8","lassa_day_10","lassa_day_12","marburg_day_0","marburg_day_1","marburg_day_3","marburg_day_5","marburg_day_7","marburg_day_9","gene_symbol","cluster"
0,4.89753580417444,4.9258829516692,5.56327223788689,3.74014614992818,3.14325980846812,0,0.124123335280501,1.6973129490742,3.54707741522294,4.0397632475576,2.0848029184169,"CCDC162P_139_82",1
0,3.42686844293646,6.46036997421176,5.43210349444646,5.84237350011766,5.2555780102876,0,0.485478454812268,2.01092898338454,5.11190503145803,6.33767893776032,5.01843847116223,"KCTD14_143_19",1
0,4.24363122932244,5.71278466705785,5.65184481844216,5.173179515451,5.60520235970636,0,0.244646604501311,2.06650301493972,6.14546744966122,5.59054452847094,2.9893723528867,"PCDH20_64_36",1
0,4.45591071545387,5.49501458978803,5.17440789197143,4.9553236832952,4.98733158808436,0,-0.54274077947891,2.79003315081501,4.37647858328001,5.41817172570784,5.87802910988907,"CMPK2_95_70",1
0,4.22888364719582,4.46564857853421,3.57607912421539,3.32282572831542,3.71026823905899,0,0.32358099442693,3.16800073624832,4.16209586739257,4.49434465509298,3.73037788038141,"MX1_296_76",1
0,4.24643074661757,4.36529619766759,4.14454601501398,3.53309896623969,3.19214686224542,0,0.677391903479331,2.8160645394197,4.55109458426683,4.18102058598274,3.31553894048247,"OAS1_97_61",1
0,0.930948112344639,2.24566067088054,4.39176131622213,2.68584980612389,3.26209112089037,0,2.52728188611375,4.39822543189151,7.80881395682263,4.2316012370966,3.52435909097389,"HSPA1B_179_12",1
0,-1.36785738463548,-0.507692392087046,-1.27774666778121,-0.836486551401503,-0.357093854207556,0,-1.38861263384566,-3.3799182867479,-2.63535974562374,-1.87538710815997,-2.09425674117365,"TAG_91_57",1
0,2.98598463081204,3.63552471261457,2.85157997678905,2.31253802436618,1.03860184617773,0,-0.133646963414157,0.258560031252065,2.8671301413398,3.21505925703318,3.94227434645262,"APOBEC3B_394_49",1
0,-1.69541303448502,0.879179699088818,0.847321849599628,0.764045776503092,0.159259549616829,0,3.0540442260745,3.77152015640383,3.34902946279417,2.78533617635751,1.9377674351215,"THAP2_234_34",1
0,3.47838687137708,4.28073050039889,3.89687208159301,3.36240278649454,2.15202020744715,0,0.460974294094684,0.358447103629915,3.40970213378944,3.131578998453,1.77458773554411,"SIGLEC1_485_69",1
0,1.82084904930485,2.85933859302,3.00334812582587,1.29568472774732,1.83848201797977,0,-0.601405236811983,0.482228887151143,2.27279714786251,3.62849212082126,2.47964589446481,"RIN2_353_64",1
0,3.66557161115175,4.67987989971895,4.2823731180065,3.48104047244521,3.49503927328458,0,-0.340391315019071,1.62395800544653,2.65138236991281,4.11636584249826,3.03428591576515,"USP18_101_14",1
0,-0.851057093648445,-2.15257717155319,-0.43881001458682,-1.03996091836818,-2.35009423993827,0,-2.60169401708495,-3.15900850450401,-2.48114947929249,-1.56486087966404,-0.655334634325123,"JUN_356_79",1
0,-1.34648777833045,0.20773393174635,0.362277144672173,-0.173709260601709,-0.109073781345441,0,-1.74200793722764,-2.96486963072119,-2.34233474559104,-2.63145061174348,-2.57492350694597,"AC083883.1_336_74",1
0,-0.101574919035365,-1.37749668408346,-1.44487655889009,-0.93826123435378,-0.223751236218946,0,-1.95273166810055,-3.18269684911881,-2.51490383083406,-1.70165367479744,-2.18252529938152,"C6ORF170_200_80",1
0,-1.47767863950975,-0.103610336529939,-0.651187504148161,-0.952750619956412,-1.87479484082637,0,-2.96766005038952,-3.44409375766398,-2.73428818783478,-1.95531671503876,-1.58099282650623,"ZBTB21_467_51",1
0,2.64985179612854,3.39280933896351,3.93131216122985,3.26760068153725,2.569471228987,0,-0.0912699965124781,0.950637984313014,4.33391516433285,4.76811500591295,4.4698745387744,"IL27_156_22",1
0,2.50246770093377,2.90795259248519,2.68928671163858,2.10038921059595,1.62287656462854,0,-0.459049654528739,0.634222173773333,2.8659102024082,3.23127584042461,2.63335009066614,"SAMD4A_56_47",1
0,2.42388463644092,2.69677248336485,2.07325820321506,1.91966512111033,1.39608846503838,0,-0.346236923458666,0.824832146314827,2.91759252983897,3.10577034405166,2.59609266308781,"SAMD4A_217_46",1
0,-0.9510888764696,-0.49475974907092,-1.01694496527774,-0.78747641865312,-0.0716301175801806,0,-1.7491848329657,-2.93325495720662,-1.87794046161912,-1.98240761094181,-1.78188515940609,"KRT40_431_51",1
0,0.792992480840013,0.737330025827488,1.45516912914044,0.861846118968207,0.534553052175311,0,1.13473242822042,2.50927248949492,3.09828730441075,3.05714592226613,2.56300133293679,"XAF1_124_26",1
0,-0.824011533743666,-0.997783186017206,-1.56118215317663,-1.21689723436346,-3.12850904389251,0,-2.38498371628832,-3.6962918303585,-2.92571541887699,-2.22555239106136,-1.34719759288342,"PLK3_294_27",1
0,2.34605791392505,2.62091202449343,2.20551446704079,2.36743954823205,2.55015132150274,0,0.116061665277269,1.40837762579708,1.96674965258758,2.36377303338448,2.1951022907903,"OAS3_143_30",1
0,-1.28925217596444,-0.825578987345731,-1.33737624128598,-1.00001832876452,-0.412350274872816,0,-2.66666956759541,-2.86489435708216,-3.22236190387487,-1.40313915554288,-2.81709679063877,"LOC280665_249_80",1
0,-1.21321873992378,-0.441046870839288,-0.253897261815293,-0.711005914420271,0.045617022475132,0,-1.41456604967723,-2.81237041370442,-0.881208463036032,-1.46161734036325,-2.25683280318069,"KIAA1598_178_69",1
